funded_amnt,installment,grade,sub_grade,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_amnt,last_fico_range_high,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_il_tl,num_op_rev_tl,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,target,term_36months,initial_list_status_w,individual,hardhship,employed_over_10yrs,emp_years,interest_rate,revolving_util,issue_date_month,issue_date_year,years_since_earliest_cr_line
15600.0,339.34,B,B2,MORTGAGE,90000.0,2019-06-01,Current,other,KY,35.57,0.0,1998-09-01,749.0,0.0,17.0,0.0,24001.0,38.0,3723.19,3723.19,2258.7,1464.49,0.0,0.0,339.34,739.0,0.0,0.0,0.0,288271.0,62700.0,2.0,16957.0,17774.0,55.1,0.0,0.0,175.0,248.0,22.0,22.0,3.0,89.0,,0.0,2.0,3.0,21.0,7.0,3.0,17.0,0.0,0.0,0.0,0.0,100.0,66.7,0.0,0.0,434481.0,85959.0,39600.0,128381.0,0,1,1,1,0,0,3.0,11.02,38.3,6,2019,21.0
10000.0,334.06,B,B4,RENT,45000.0,2019-03-01,Current,debt_consolidation,FL,28.16,0.0,2005-04-01,694.0,0.0,12.0,0.0,6496.0,25.0,4669.95,4669.95,3455.38,1214.57,0.0,0.0,334.06,734.0,0.0,0.0,3505.0,30914.0,22000.0,6.0,2810.0,6763.0,46.7,0.0,0.0,152.0,167.0,1.0,1.0,0.0,4.0,8.0,0.0,3.0,5.0,5.0,10.0,5.0,12.0,0.0,0.0,0.0,3.0,84.0,0.0,0.0,0.0,61654.0,30914.0,12700.0,39654.0,0,1,1,1,0,0,9.0,12.4,29.5,3,2019,14.0
24000.0,564.31,C,C2,RENT,50000.0,2018-10-01,Fully Paid,debt_consolidation,CA,27.89,0.0,2005-04-01,719.0,0.0,6.0,1.0,3759.0,11.0,24033.5737333335,24033.57,24000.0,33.57,0.0,0.0,24052.86,724.0,0.0,0.0,0.0,21127.0,18000.0,4.0,3521.0,14241.0,20.9,0.0,0.0,162.0,37.0,9.0,8.0,0.0,9.0,,0.0,3.0,3.0,8.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,55483.0,21127.0,18000.0,37483.0,0,1,1,1,0,1,10.0,14.47,20.9,10,2018,13.0
32625.0,1052.57,B,B3,RENT,275000.0,2015-07-01,Fully Paid,credit_card,NY,15.8,0.0,2001-06-01,724.0,0.0,11.0,0.0,34635.0,23.0,37703.2986887214,37703.3,32625.0,5078.3,0.0,0.0,7214.98,689.0,0.0,0.0,0.0,99734.0,51200.0,3.0,9067.0,15259.0,67.0,0.0,0.0,129.0,166.0,37.0,8.0,0.0,37.0,,0.0,4.0,5.0,13.0,7.0,5.0,11.0,0.0,0.0,0.0,1.0,100.0,33.3,0.0,0.0,141386.0,99734.0,46200.0,48557.0,0,1,0,1,0,0,0.0,9.99,67.6,7,2015,14.0
5000.0,162.33,B,B3,RENT,28470.0,2018-02-01,Charged Off,debt_consolidation,OK,10.33,0.0,2003-08-01,674.0,1.0,4.0,1.0,7585.0,7.0,808.76,808.76,604.98,203.78,0.0,0.0,162.33,504.0,0.0,0.0,0.0,7585.0,16500.0,2.0,1896.0,6915.0,52.3,0.0,0.0,,174.0,2.0,2.0,0.0,13.0,2.0,0.0,3.0,3.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,16500.0,7585.0,14500.0,0.0,1,1,1,1,0,1,10.0,10.42,46.0,2,2018,15.0
12000.0,272.98,B,B5,MORTGAGE,65000.0,2014-03-01,Fully Paid,debt_consolidation,AZ,15.77,0.0,2004-08-01,729.0,1.0,7.0,0.0,11718.0,15.0,14883.3800022281,14883.38,12000.0,2883.38,0.0,0.0,8058.88,509.0,0.0,0.0,0.0,184633.0,20300.0,3.0,26376.0,3048.0,71.8,0.0,0.0,33.0,115.0,18.0,18.0,2.0,22.0,2.0,0.0,3.0,5.0,2.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,93.3,33.3,0.0,0.0,208495.0,35616.0,10800.0,30321.0,0,1,0,1,0,0,3.0,12.99,57.7,3,2014,10.0
35000.0,1052.9,E,E5,MORTGAGE,116000.0,2017-01-01,Charged Off,other,TX,11.35,0.0,2006-02-01,709.0,3.0,13.0,0.0,5760.0,19.0,32074.49,32074.49,10427.11,17950.17,0.0,3697.21,1052.9,604.0,1.0,0.0,2217.0,254464.0,32800.0,8.0,19574.0,14900.0,22.8,0.0,0.0,131.0,56.0,10.0,2.0,5.0,10.0,0.0,0.0,1.0,2.0,7.0,7.0,2.0,13.0,0.0,0.0,0.0,2.0,94.7,0.0,0.0,0.0,334726.0,22706.0,19300.0,50423.0,1,1,1,0,0,1,10.0,26.24,17.6,1,2017,11.0
36000.0,934.46,D,D3,MORTGAGE,435000.0,2017-08-01,Charged Off,debt_consolidation,FL,22.77,0.0,1991-02-01,694.0,0.0,25.0,0.0,150231.0,41.0,22040.66,22040.66,8469.87,9656.22,0.0,3914.57,934.46,624.0,0.0,0.0,0.0,799371.0,208100.0,9.0,31975.0,36953.0,68.8,0.0,0.0,193.0,311.0,2.0,2.0,1.0,25.0,2.0,0.0,8.0,13.0,11.0,18.0,13.0,25.0,0.0,0.0,0.0,4.0,100.0,40.0,0.0,0.0,926766.0,424317.0,132500.0,268499.0,1,1,1,1,0,0,7.0,19.03,70.4,8,2017,26.0
10550.0,336.33,B,B2,MORTGAGE,28000.0,2015-10-01,Fully Paid,credit_card,OH,29.96,0.0,2003-09-01,699.0,0.0,8.0,0.0,11328.0,12.0,11858.5977123344,11858.6,10550.0,1308.6,0.0,0.0,4491.59,709.0,0.0,0.0,0.0,15342.0,16100.0,1.0,2192.0,270.0,96.8,0.0,0.0,144.0,130.0,10.0,10.0,0.0,125.0,23.0,0.0,2.0,5.0,4.0,7.0,5.0,8.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,26100.0,15342.0,8500.0,10000.0,0,1,1,1,0,0,0.0,9.17,70.4,10,2015,12.0
7000.0,219.97,A,A5,RENT,80400.0,2015-01-01,Fully Paid,credit_card,CA,8.99,1.0,2005-09-01,719.0,0.0,13.0,0.0,6772.0,25.0,7428.01,7428.01,7000.0,428.01,0.0,0.0,5451.46,704.0,0.0,0.0,0.0,29734.0,45200.0,2.0,2478.0,34000.0,16.5,0.0,0.0,111.0,101.0,10.0,4.0,0.0,10.0,2.0,0.0,3.0,4.0,11.0,8.0,4.0,13.0,0.0,0.0,0.0,2.0,96.0,0.0,0.0,0.0,74945.0,29734.0,40700.0,29745.0,0,1,1,1,0,0,2.0,8.19,15.0,1,2015,10.0
35000.0,1201.33,C,C1,MORTGAGE,150000.0,2019-10-01,Current,house,NY,8.14,0.0,2003-10-01,709.0,0.0,6.0,0.0,98895.0,7.0,8353.7,8353.7,5689.93,2663.77,0.0,0.0,0.0,674.0,0.0,0.0,0.0,864477.0,113500.0,5.0,144080.0,4829.0,56.9,0.0,0.0,,52.0,7.0,7.0,2.0,7.0,7.0,0.0,2.0,4.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,5.0,100.0,50.0,0.0,0.0,888362.0,104860.0,11200.0,0.0,0,1,1,1,1,0,5.0,14.3,54.6,10,2019,16.0
40000.0,870.1,B,B2,MORTGAGE,100000.0,2019-08-01,Current,debt_consolidation,MI,13.81,0.0,2006-10-01,709.0,1.0,10.0,0.0,12050.0,36.0,7806.41,7806.41,4694.73,3111.68,0.0,0.0,870.1,719.0,0.0,0.0,0.0,227285.0,96500.0,2.0,22729.0,75750.0,13.7,0.0,0.0,125.0,154.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,21.0,8.0,3.0,10.0,0.0,0.0,0.0,2.0,88.9,0.0,0.0,0.0,318400.0,105329.0,87800.0,79552.0,0,1,1,1,0,0,2.0,11.02,12.5,8,2019,13.0
25000.0,543.81,B,B2,MORTGAGE,54000.0,2019-11-01,Fully Paid,home_improvement,FL,8.64,0.0,2000-09-01,704.0,3.0,12.0,0.0,2139.0,36.0,25994.551018445,25994.55,25000.0,994.55,0.0,0.0,24378.43,714.0,0.0,0.0,0.0,275638.0,73700.0,9.0,22970.0,58961.0,3.5,0.0,0.0,143.0,230.0,6.0,1.0,5.0,6.0,0.0,0.0,4.0,4.0,12.0,10.0,4.0,12.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,348700.0,12139.0,61100.0,10000.0,0,1,1,1,0,0,,11.02,2.9,11,2019,19.0
22000.0,487.16,B,B4,MORTGAGE,125000.0,2018-12-01,Current,credit_card,AR,14.39,0.0,2004-07-01,709.0,1.0,10.0,0.0,23066.0,24.0,8274.51,8274.51,4984.67,3289.84,0.0,0.0,487.16,734.0,0.0,0.0,0.0,100066.0,45100.0,4.0,10007.0,15354.0,53.6,0.0,0.0,173.0,160.0,6.0,6.0,1.0,6.0,0.0,0.0,4.0,5.0,14.0,7.0,5.0,10.0,0.0,0.0,0.0,1.0,100.0,60.0,0.0,0.0,144563.0,61797.0,33100.0,46509.0,0,1,1,1,0,1,10.0,11.8,51.1,12,2018,14.0
10000.0,301.15,A,A1,MORTGAGE,140000.0,2016-04-01,Fully Paid,home_improvement,MA,0.36,0.0,2003-04-01,794.0,0.0,10.0,0.0,3658.0,21.0,10814.066049684,10814.07,10000.0,814.07,0.0,0.0,2083.68,819.0,0.0,0.0,0.0,284865.0,48600.0,1.0,28487.0,41442.0,8.1,0.0,0.0,68.0,156.0,2.0,2.0,3.0,2.0,,0.0,3.0,3.0,2.0,8.0,3.0,10.0,0.0,0.0,0.0,1.0,95.2,0.0,0.0,0.0,361227.0,3658.0,45100.0,0.0,0,1,1,1,0,0,3.0,5.32,7.5,4,2016,13.0
22000.0,694.58,F,F1,MORTGAGE,50000.0,2017-06-01,Charged Off,debt_consolidation,MD,15.82,2.0,2004-06-01,689.0,0.0,15.0,0.0,23618.0,26.0,21043.6,21043.6,2990.12,7393.48,0.0,10660.0,694.58,594.0,0.0,0.0,136.0,23618.0,85400.0,4.0,1687.0,35175.0,39.8,0.0,0.0,55.0,156.0,10.0,10.0,2.0,10.0,8.0,0.0,4.0,5.0,2.0,15.0,5.0,15.0,0.0,0.0,0.0,1.0,92.3,37.5,0.0,0.0,85400.0,23618.0,58400.0,0.0,1,1,1,1,0,0,0.0,28.72,27.7,6,2017,13.0
6325.0,257.44,G,G1,RENT,92000.0,2015-07-01,Fully Paid,debt_consolidation,TX,21.72,0.0,2005-11-01,669.0,2.0,13.0,0.0,4565.0,16.0,9257.0102604878,9183.83,6325.0,2932.01,0.0,0.0,7.98,589.0,0.0,0.0,0.0,51539.0,7000.0,15.0,3965.0,1868.0,64.8,0.0,0.0,12.0,24.0,3.0,1.0,0.0,3.0,3.0,1.0,5.0,7.0,8.0,7.0,7.0,13.0,0.0,0.0,0.0,13.0,93.7,40.0,0.0,0.0,58082.0,51539.0,5300.0,51082.0,0,1,0,1,0,0,3.0,26.77,65.2,7,2015,10.0
3000.0,93.97,A,A5,RENT,75000.0,2017-08-01,Current,other,TX,16.02,0.0,1988-08-01,754.0,0.0,8.0,0.0,11664.0,14.0,3098.35,3098.35,2721.89,376.46,0.0,0.0,93.97,724.0,0.0,0.0,0.0,32348.0,33700.0,1.0,4044.0,18795.0,32.9,0.0,0.0,95.0,348.0,32.0,13.0,0.0,47.0,13.0,0.0,2.0,5.0,4.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,59012.0,32348.0,28000.0,25312.0,0,1,0,1,0,1,10.0,7.97,34.6,8,2017,29.0
10000.0,312.63,A,A4,MORTGAGE,69000.0,2018-08-01,Fully Paid,debt_consolidation,NV,8.21,0.0,1997-11-01,689.0,0.0,9.0,1.0,6707.0,14.0,10750.0937158674,10750.09,10000.0,750.09,0.0,0.0,7002.89,679.0,0.0,0.0,404.0,256273.0,17100.0,4.0,28475.0,9993.0,40.2,0.0,0.0,132.0,249.0,5.0,3.0,1.0,5.0,3.0,0.0,6.0,6.0,5.0,7.0,6.0,9.0,0.0,0.0,0.0,2.0,92.3,0.0,1.0,0.0,276727.0,17278.0,16700.0,10727.0,0,1,0,0,0,0,5.0,7.84,39.2,8,2018,21.0
6000.0,188.55,A,A4,OWN,32000.0,2019-10-01,Current,credit_card,FL,25.47,2.0,2000-12-01,679.0,1.0,6.0,0.0,4632.0,13.0,1317.12,1317.12,1054.59,262.53,0.0,0.0,188.55,719.0,0.0,0.0,0.0,56373.0,6200.0,2.0,9396.0,1568.0,74.7,0.0,0.0,53.0,226.0,76.0,1.0,2.0,184.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,69.2,33.3,0.0,0.0,97567.0,7976.0,6200.0,17628.0,0,1,0,1,0,0,0.0,8.19,74.7,10,2019,19.0
5300.0,171.84,B,B1,RENT,65000.0,2019-06-01,Current,credit_card,GA,26.42,0.0,2009-11-01,669.0,0.0,16.0,0.0,37631.0,31.0,1887.2,1887.2,1433.94,453.26,0.0,0.0,171.84,649.0,0.0,0.0,436.0,201230.0,87400.0,5.0,12577.0,42299.0,44.7,0.0,0.0,115.0,104.0,5.0,5.0,0.0,5.0,4.0,0.0,9.0,11.0,15.0,12.0,11.0,16.0,0.0,0.0,0.0,3.0,90.3,20.0,0.0,0.0,249801.0,201230.0,76500.0,162401.0,0,1,1,0,0,0,6.0,10.33,43.1,6,2019,10.0
20000.0,635.07,A,A5,MORTGAGE,120000.0,2014-02-01,Charged Off,debt_consolidation,NY,4.76,0.0,1986-03-01,749.0,0.0,8.0,0.0,15995.0,29.0,14220.28,14220.28,7152.77,1738.21,0.0,5329.3,635.07,709.0,0.0,0.0,0.0,365929.0,39300.0,0.0,45741.0,18205.0,46.8,0.0,0.0,135.0,335.0,38.0,38.0,4.0,95.0,19.0,0.0,2.0,2.0,4.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,96.4,25.0,0.0,0.0,413257.0,25265.0,34200.0,0.0,1,1,1,1,0,0,,8.9,40.7,2,2014,28.0
32000.0,752.41,C,C2,RENT,108895.0,2018-07-01,Fully Paid,debt_consolidation,CA,23.28,0.0,2004-10-01,664.0,0.0,14.0,0.0,36880.0,24.0,38809.860240636,38809.86,32000.0,6809.86,0.0,0.0,24565.52,744.0,0.0,0.0,0.0,195102.0,50700.0,1.0,13936.0,5589.0,84.2,0.0,0.0,165.0,151.0,10.0,10.0,0.0,10.0,,0.0,8.0,10.0,13.0,11.0,10.0,14.0,0.0,0.0,0.0,1.0,100.0,62.5,0.0,0.0,189857.0,195102.0,35300.0,139157.0,0,1,1,1,0,1,10.0,14.47,72.7,7,2018,14.0
15000.0,389.03,D,D3,MORTGAGE,93000.0,2016-12-01,Fully Paid,debt_consolidation,IN,15.32,2.0,2008-02-01,694.0,2.0,10.0,1.0,5637.0,19.0,17334.3558234696,17334.36,15000.0,2334.36,0.0,0.0,112.85,689.0,0.0,0.0,0.0,112199.0,9400.0,3.0,11220.0,1860.0,72.6,0.0,0.0,106.0,99.0,1.0,1.0,1.0,4.0,0.0,0.0,3.0,5.0,8.0,6.0,5.0,10.0,0.0,0.0,0.0,2.0,89.5,66.7,0.0,1.0,137365.0,42531.0,6800.0,55215.0,0,1,1,1,0,1,10.0,18.99,60.0,12,2016,8.0
5000.0,164.62,B,B3,MORTGAGE,70000.0,2017-01-01,Fully Paid,credit_card,IL,25.68,0.0,1998-11-01,714.0,1.0,20.0,0.0,13123.0,45.0,5927.83895261,5927.84,5000.0,927.84,0.0,0.0,164.56,779.0,0.0,0.0,438.0,216102.0,30400.0,4.0,10805.0,10200.0,51.0,0.0,0.0,198.0,218.0,23.0,13.0,3.0,23.0,1.0,1.0,7.0,10.0,14.0,14.0,10.0,20.0,0.0,0.0,0.0,0.0,91.1,10.0,0.0,0.0,255191.0,86840.0,20800.0,70963.0,0,1,1,1,0,0,9.0,11.39,43.2,1,2017,19.0
1200.0,50.16,D,D5,MORTGAGE,86000.0,2019-05-01,Fully Paid,medical,MS,21.49,1.0,2002-09-01,729.0,0.0,15.0,0.0,6329.0,29.0,1377.5802948052,1377.58,1200.0,177.58,0.0,0.0,1128.7,704.0,0.0,0.0,0.0,230145.0,17800.0,3.0,15343.0,19.0,99.5,0.0,0.0,200.0,168.0,48.0,11.0,3.0,96.0,11.0,1.0,1.0,3.0,22.0,4.0,3.0,15.0,0.0,0.0,0.0,2.0,89.7,100.0,0.0,0.0,272487.0,78289.0,3800.0,88387.0,0,1,1,1,0,1,10.0,28.8,35.6,5,2019,17.0
10000.0,346.85,C,C4,MORTGAGE,125000.0,2018-03-01,Fully Paid,debt_consolidation,MN,14.61,0.0,2003-05-01,714.0,2.0,13.0,0.0,33835.0,23.0,11970.713019995,11970.71,10000.0,1970.71,0.0,0.0,5388.92,749.0,0.0,0.0,0.0,417149.0,40236.0,5.0,32088.0,249.0,96.9,0.0,0.0,152.0,159.0,31.0,4.0,5.0,31.0,4.0,1.0,4.0,5.0,13.0,5.0,5.0,13.0,0.0,0.0,0.0,3.0,91.3,100.0,0.0,0.0,499129.0,87208.0,8000.0,56493.0,0,1,1,1,0,1,10.0,15.04,84.1,3,2018,15.0
12000.0,239.09,A,A4,OWN,118000.0,2015-07-01,Fully Paid,home_improvement,CO,12.14,1.0,1990-04-01,684.0,0.0,7.0,0.0,53577.0,20.0,13565.5873797528,13565.59,12000.0,1565.59,0.0,0.0,7593.18,704.0,0.0,0.0,0.0,413185.0,55300.0,1.0,59026.0,1562.0,94.1,0.0,0.0,127.0,299.0,16.0,16.0,4.0,16.0,,0.0,3.0,5.0,4.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,95.0,66.7,0.0,0.0,450060.0,58497.0,26500.0,0.0,0,1,1,1,0,0,1.0,7.26,96.9,7,2015,25.0
6375.0,246.95,D,D3,MORTGAGE,34000.0,2020-01-01,Current,other,TX,53.02,0.0,2006-06-01,684.0,0.0,8.0,0.0,7566.0,13.0,979.64,979.64,512.53,467.11,0.0,0.0,246.95,684.0,0.0,0.0,1132.0,207357.0,11700.0,2.0,25920.0,2844.0,72.4,0.0,0.0,163.0,48.0,32.0,3.0,1.0,32.0,3.0,0.0,4.0,5.0,5.0,5.0,5.0,8.0,0.0,0.0,0.0,2.0,100.0,25.0,0.0,0.0,231446.0,66087.0,10300.0,76882.0,0,1,1,0,0,0,4.0,23.05,64.7,1,2020,14.0
10000.0,342.22,B,B5,MORTGAGE,89000.0,2013-05-01,Fully Paid,debt_consolidation,TN,7.07,1.0,1977-03-01,664.0,2.0,14.0,0.0,7760.0,27.0,12319.6345011299,12319.63,10000.0,2319.63,0.0,0.0,341.93,634.0,0.0,1.0,197.0,131684.0,35200.0,3.0,11971.0,20959.0,25.4,0.0,117.0,125.0,441.0,15.0,13.0,3.0,15.0,1.0,0.0,2.0,2.0,3.0,11.0,3.0,13.0,0.0,1.0,0.0,0.0,88.0,0.0,0.0,0.0,171699.0,10622.0,28100.0,10099.0,0,1,0,1,0,1,10.0,14.09,22.0,5,2013,36.0
